ticket,opening_time_utc,closing_time_utc,type,lots,symbol,opening_price,closing_price,stop_loss,take_profit,commission_usd,swap_usd,profit_usd
86474610,2022-08-04T08:26:31.007000,2022-08-04T09:50:04.481000,buy,0.2,USDCADm,1.28479,1.28311,0,0,0,0,-26.19
86444819,2022-08-04T07:27:49.163000,2022-08-04T08:04:35.175000,buy,0.3,GBPUSDm,1.21719,1.21626,0,0,0,0,-27.9
86445057,2022-08-04T07:28:21.590000,2022-08-04T08:04:30.660000,sell,0.3,USDCADm,1.28436,1.28458,0,0,0,0,-5.14
86444646,2022-08-04T07:27:30.233000,2022-08-04T08:04:27.179000,buy,0.3,AUDUSDm,0.6974,0.69681,0,0,0,0,-17.7
86412613,2022-08-04T06:37:44.312000,2022-08-04T07:27:21.192000,buy,0.3,USDCADm,1.28545,1.28431,0,0,0,0,-26.63
86410471,2022-08-04T06:33:55.497000,2022-08-04T07:26:05.221000,sell,0.3,GBPUSDm,1.21372,1.21725,0,0,0,0,-105.9
85914900,2022-08-03T14:07:07.850000,2022-08-03T14:44:37.104000,buy,0.2,USDCADm,1.2857,1.28675,0,0,0,0,16.32
85776023,2022-08-03T12:08:12.185000,2022-08-03T14:44:37.103000,buy,0.3,USDCADm,1.28426,1.28675,0,0,0,0,58.05
85777225,2022-08-03T12:09:38.917000,2022-08-03T14:06:11.658000,sell,0.2,GBPUSDm,1.21835,1.21301,0,0,0,0,106.8
85648642,2022-08-03T07:47:00.801000,2022-08-03T14:06:07.813000,sell,0.3,GBPUSDm,1.2187,1.21286,0,0,0,0,175.2
85714247,2022-08-03T10:17:54.993000,2022-08-03T12:03:14.635000,buy,0.2,USDCADm,1.28525,1.28351,0,0,0,0,-27.11
85581849,2022-08-03T06:25:01.789000,2022-08-03T08:24:03.531000,buy,0.2,USDCADm,1.28594,1.28639,0,0,0,0,7
85580554,2022-08-03T06:22:22.091000,2022-08-03T07:24:18.680000,sell,0.3,GBPUSDm,1.21787,1.21995,0,0,0,0,-62.4
85463902,2022-08-03T02:50:48.976000,2022-08-03T06:00:14.019000,buy,0.2,AUDUSDm,0.69192,0.693,0,0,0,0,21.6
84850627,2022-08-02T13:39:08.176000,2022-08-02T14:39:34.815000,buy,0.2,USDCADm,1.28555,1.287,0,0,0,0,22.53
84758305,2022-08-02T12:37:55.526000,2022-08-02T13:25:36.126000,sell,0.2,XAUUSDm,1786.278,1777.075,0,0,0,0,184.06
84713194,2022-08-02T12:21:28.338000,2022-08-02T13:25:32.446000,sell,0.2,XAUUSDm,1781.418,1777.088,0,0,0,0,86.6
84708585,2022-08-02T12:18:14.085000,2022-08-02T12:21:04.406000,sell,0.2,XAUUSDm,1778.832,1781.5,0,0,0,0,-53.36
84670869,2022-08-02T11:34:25.878000,2022-08-02T12:16:31.937000,sell,0.2,XAUUSDm,1778.281,1780.5,0,0,0,0,-44.38
84622041,2022-08-02T10:48:00.726000,2022-08-02T12:16:31.918000,sell,0.1,XAUUSDm,1774,1780.5,0,0,0,0,-65
83489928,2022-08-01T10:01:01.263000,2022-08-02T11:02:41.496000,sell,0.3,GBPUSDm,1.22441,1.22075,0,0,0,0,109.8
84180220,2022-08-02T01:38:40.647000,2022-08-02T11:02:41.493000,sell,0.2,GBPUSDm,1.2267,1.22075,0,0,0,0,119
84168732,2022-08-02T01:25:26.754000,2022-08-02T04:36:26.219000,sell,0.3,AUDUSDm,0.7019,0.69938,0,0,0,0,75.6
83635156,2022-08-01T12:49:45.923000,2022-08-02T00:38:38.789000,sell,0.1,XAUUSDm,1767.332,1777.056,0,0,0,0,-97.24
83406375,2022-08-01T08:24:27.615000,2022-08-01T09:45:46.064000,sell,0.2,GBPUSDm,1.22019,1.22562,0,0,0,0,-108.6
83192829,2022-08-01T04:09:06.061000,2022-08-01T08:16:21.915000,sell,0.2,GBPUSDm,1.21797,1.22109,0,0,0,0,-62.4
82179417,2022-07-29T14:45:07.872000,2022-07-31T23:03:05.673000,buy,0.2,AUDUSDm,0.69577,0.6978,0,0,0,0,40.6
82070356,2022-07-29T13:04:27.864000,2022-07-29T14:43:54.539000,sell,0.1,XAUUSDm,1757.706,1759.298,0,0,0,0,-15.92
81999928,2022-07-29T11:56:33.251000,2022-07-29T13:04:20.060000,buy,0.1,XAUUSDm,1761.328,1757.173,0,0,0,0,-41.55
81795229,2022-07-29T06:58:40.973000,2022-07-29T08:24:32.668000,sell,0.17,GBPUSDm,1.22322,1.217,0,0,0,0,105.74
81657212,2022-07-29T04:32:36.368000,2022-07-29T05:37:58.053000,sell,0.14,XAUUSDm,1761.419,1764,0,0,0,0,-36.13
81418222,2022-07-28T22:42:53.670000,2022-07-29T04:03:00.247000,sell,0.15,AUDUSDm,0.69926,0.70092,0,0,0,0,-24.9
81110617,2022-07-28T13:29:12.229000,2022-07-29T03:55:03.800000,sell,0.2,XAUUSDm,1752.588,1764.222,0,0,0,0,-232.68
81037015,2022-07-28T12:36:34.824000,2022-07-28T13:28:39.633000,sell,0.1,XAUUSDm,1743.95,1752.966,0,0,0,0,-90.16
80668244,2022-07-28T06:51:29.398000,2022-07-28T11:21:36.563000,sell,0.17,GBPUSDm,1.2158,1.21069,0,0,0,0,86.87
80651856,2022-07-28T06:33:47.504000,2022-07-28T11:21:27.612000,sell,0.3,AUDUSDm,0.70082,0.69675,0,0,0,0,122.1
80342144,2022-07-27T23:57:16.548000,2022-07-28T06:32:19.947000,sell,0.3,AUDUSDm,0.69955,0.7004,0,0,0,0,-25.5
79451866,2022-07-27T02:12:54.353000,2022-07-27T18:40:41.779000,sell,0.4,XAUUSDm,1716.518,1731.487,0,0,0,0,-598.76
79573300,2022-07-27T06:10:02.036000,2022-07-27T18:40:14.781000,sell,0.1,GBPUSDm,1.20565,1.21,0,0,0,0,-43.5
79412980,2022-07-27T01:05:17.778000,2022-07-27T02:12:48.106000,buy,0.4,XAUUSDm,1719.836,1716.57,0,0,0,0,-130.64
79148170,2022-07-26T14:04:35.398000,2022-07-27T01:05:01.885000,sell,0.15,XAUUSDm,1718.413,1719.562,0,0,0,0,-17.23
79148003,2022-07-26T14:04:28.498000,2022-07-27T01:04:51.753000,sell,0.15,XAGUSDm,18.619,18.722,0,0,0,-0.45,-77.25
79168879,2022-07-26T14:28:30.450000,2022-07-26T14:43:33.892000,sell,0.1,USDCADm,1.2884,1.28754,0,0,0,0,6.68
79120731,2022-07-26T13:37:25.766000,2022-07-26T14:04:15.530000,buy,0.1,XAUUSDm,1721.498,1718.502,0,0,0,0,-29.96
79120171,2022-07-26T13:36:51.491000,2022-07-26T14:04:08.881000,buy,0.1,XAGUSDm,18.681,18.614,0,0,0,0,-33.5
79029656,2022-07-26T11:58:13.047000,2022-07-26T13:37:20.295000,sell,0.05,XAUUSDm,1717.412,1721.259,0,0,0,0,-19.24
79114211,2022-07-26T13:32:12.050000,2022-07-26T13:36:35.028000,sell,0.05,XAGUSDm,18.621,18.691,0,0,0,0,-17.5
78919651,2022-07-26T08:36:50.472000,2022-07-26T10:15:01.358000,sell,0.3,AUDUSDm,0.69569,0.69399,0,0,0,0,51
78919722,2022-07-26T08:36:59.670000,2022-07-26T10:14:39.636000,sell,0.2,GBPUSDm,1.20337,1.19981,0,0,0,0,71.2
78919562,2022-07-26T08:36:41.932000,2022-07-26T09:26:40.313000,buy,0.3,USDCADm,1.28341,1.28563,0,0,0,0,51.8
78901388,2022-07-26T08:00:16.642000,2022-07-26T08:36:30.747000,buy,0.1,GBPUSDm,1.20459,1.20327,0,0,0,0,-13.2
78888577,2022-07-26T07:35:50.252000,2022-07-26T08:36:26.841000,sell,0.2,USDCADm,1.28178,1.2834,0,0,0,0,-25.25
78889223,2022-07-26T07:37:24.268000,2022-07-26T08:36:23.017000,buy,0.2,AUDUSDm,0.69719,0.6957,0,0,0,0,-29.8
78592418,2022-07-25T23:06:58.379000,2022-07-26T07:37:12.176000,sell,0.1,AUDUSDm,0.6953,0.6972,0,0,0,0,-19
78366123,2022-07-25T14:29:33.170000,2022-07-26T06:02:27.811000,buy,0.1,USDCADm,1.28639,1.28221,0,0,0,0,-32.6
78193743,2022-07-25T11:58:59.286000,2022-07-25T14:24:15.411000,sell,0.05,XAUUSDm,1726.356,1717.625,0,0,0,0,43.65
77981693,2022-07-25T08:07:34.809000,2022-07-25T09:45:41.837000,buy,0.2,AUDUSDm,0.69281,0.69536,0,0,0,0,51
77980564,2022-07-25T08:06:21.200000,2022-07-25T09:11:06.366000,buy,0.1,GBPUSDm,1.20053,1.20432,0,0,0,0,37.9
77554150,2022-07-25T00:00:28.283000,2022-07-25T08:07:03.840000,sell,0.1,AUDUSDm,0.69006,0.69277,0,0,0,0,-27.1
76674155,2022-07-22T13:15:06.582000,2022-07-22T13:45:50.567000,buy,0.05,XAUUSDm,1726.777,1731.703,0,0,0,0,24.63
76423373,2022-07-22T08:28:57.618000,2022-07-22T13:40:34.160000,sell,0.2,USDCADm,1.28736,1.28416,0,0,0,0,49.84
76641207,2022-07-22T12:37:02.937000,2022-07-22T13:15:00.216000,sell,0.05,XAUUSDm,1725.059,1726.707,0,0,0,0,-8.24
